Nome do Produto,Sistema,Documento,Transação,Meio de Pagamento,Moeda,Preço do Produto,Número da Parcela,Data de Venda,Status,Cliente,País,Tipo de Pagamento
Monitor,Online,12654,Devolução,Cartão de Crédito,BRL,1200,4,30/06/2024,Completa,Cliente 1,Brasil,À Vista
Memória RAM,Online,79245,Troca,Pix,BRL,400,1,30/06/2024,Pendente,Cliente 2,Brasil,À Vista
Monitor,Online,49888,Devolução,Transferência Bancária,BRL,1200,1,30/06/2024,Completa,Cliente 3,Brasil,À Vista
Fonte,Online,31187,Venda,Cartão de Crédito,BRL,200,10,30/06/2024,Completa,Cliente 4,Brasil,À Vista
Laptop,Online,24859,Venda,Transferência Bancária,BRL,4000,1,30/06/2024,Pendente,Cliente 5,Brasil,Parcelado
Memória RAM,Online,15323,Venda,Pix,BRL,400,1,30/06/2024,Completa,Cliente 6,Brasil,Parcelado
Processador,Online,63075,Devolução,Cartão de Crédito,BRL,1200,12,30/06/2024,Completa,Cliente 7,Brasil,À Vista
SSD,Online,34951,Troca,Cartão de Crédito,BRL,600,7,30/06/2024,Pendente,Cliente 8,Brasil,À Vista
Tablet,Online,89607,Devolução,Boleto,BRL,1200,1,30/06/2024,Pendente,Cliente 9,Brasil,À Vista
Placa de Vídeo,Online,55828,Devolução,Cartão de Crédito,BRL,2500,11,30/06/2024,Completa,Cliente 10,Brasil,À Vista
Laptop,Online,91330,Devolução,Boleto,BRL,4000,1,30/06/2024,Completa,Cliente 11,Brasil,Parcelado
Mouse,Online,68605,Venda,Pix,BRL,50,1,30/06/2024,Completa,Cliente 12,Brasil,Parcelado
Processador,Online,47252,Devolução,Pix,BRL,1200,1,30/06/2024,Pendente,Cliente 13,Brasil,À Vista
Placa Mãe,Online,79859,Venda,Transferência Bancária,BRL,800,1,30/06/2024,Completa,Cliente 14,Brasil,Parcelado
Mouse,Online,63859,Troca,Pix,BRL,50,1,30/06/2024,Pendente,Cliente 15,Brasil,Parcelado
Smartphone,Online,38032,Devolução,Cartão de Crédito,BRL,3000,7,30/06/2024,Completa,Cliente 16,Brasil,À Vista
Placa Mãe,Online,35141,Devolução,Cartão de Crédito,BRL,800,12,30/06/2024,Pendente,Cliente 17,Brasil,Parcelado
Smartphone,Online,25905,Venda,Boleto,BRL,3000,1,30/06/2024,Completa,Cliente 18,Brasil,À Vista
Memória RAM,Online,77525,Devolução,Transferência Bancária,BRL,400,1,30/06/2024,Pendente,Cliente 19,Brasil,À Vista
Teclado,Online,10150,Venda,Transferência Bancária,BRL,150,1,30/06/2024,Pendente,Cliente 20,Brasil,Parcelado
Smartphone,Online,83565,Troca,Transferência Bancária,BRL,3000,1,30/06/2024,Completa,Cliente 21,Brasil,Parcelado
Fone de Ouvido,Online,43783,Venda,Pix,BRL,200,1,30/06/2024,Pendente,Cliente 22,Brasil,À Vista
SSD,Online,27826,Troca,Transferência Bancária,BRL,600,1,30/06/2024,Completa,Cliente 23,Brasil,Parcelado
Placa Mãe,Online,70029,Troca,Pix,BRL,800,1,30/06/2024,Completa,Cliente 24,Brasil,À Vista
